Customer_ID	Transaction_amount	Date
7	21.3	10/1/2017
2	24.6	10/1/2017
3	9.3	10/1/2017
12	45.9	10/1/2017
15	62	10/1/2017
1	7.7	10/2/2017
15	57.2	10/2/2017
3	54.5	10/2/2017
7	18.2	10/2/2017
10	56.4	10/2/2017
7	46	10/2/2017
10	61.6	10/3/2017
3	39.5	10/3/2017
14	500	10/3/2017
9	17.7	10/4/2017
6	13.6	10/4/2017
15	33.1	10/4/2017
2	20.1	10/5/2017
8	27	10/5/2017
10	38.2	10/6/2017
5	49.8	10/6/2017
10	3.7	10/6/2017
6	11.1	10/7/2017
14	37.7	10/7/2017
13	14.8	10/7/2017
8	25.4	10/8/2017
10	7.7	10/8/2017
13	38.7	10/8/2017
12	80	10/9/2017
11	3500	10/9/2017
2	32.4	10/9/2017
5	76.2	10/10/2017
15	24.5	10/10/2017
13	24.1	10/11/2017
12	208.1	10/12/2017
10	17.7	10/12/2017
9	62.8	10/12/2017
12	42.2	10/12/2017
14	27.6	10/14/2017
14	70.9	10/14/2017
2	71	10/14/2017
14	7.6	10/15/2017
8	24.6	10/15/2017
4	64.7	10/15/2017
11	40.2	10/16/2017
7	27.4	10/16/2017
1	670	10/16/2017
6	69.6	10/17/2017
7	62.4	10/17/2017
2	54	10/17/2017
4	18.9	10/17/2017
4	72.7	10/17/2017
1	39.9	10/17/2017
8	18.8	10/18/2017
2	45.4	10/18/2017
12	37.4	10/18/2017
11	43.7	10/18/2017
6	51.2	10/18/2017
10	41.2	10/18/2017
15	41	10/19/2017
4	18.7	10/19/2017
12	71.4	10/20/2017
7	50.9	10/20/2017
2	69.6	10/21/2017
6	48.3	10/21/2017
11	93.3	10/22/2017
14	45.9	10/22/2017
6	88.4	10/22/2017
2	70.3	10/23/2017
3	42	10/23/2017
9	36.8	10/24/2017
13	20.9	10/24/2017
3	73	10/24/2017
13	99.2	10/24/2017
3	14.7	10/24/2017
4	9.3	10/25/2017
11	800	10/25/2017
10	61	10/25/2017
9	79.2	10/25/2017
13	58.5	10/25/2017
6	22.8	10/26/2017
7	20.8	10/26/2017
13	26.7	10/27/2017
1	41.2	10/27/2017
5	16.6	10/27/2017
11	28.3	10/27/2017
8	96.1	10/27/2017
6	32.2	10/27/2017
4	55.7	10/27/2017
11	93.3	10/28/2017
7	13.8	10/28/2017
3	74.3	10/29/2017
6	8.8	10/29/2017
3	20.7	10/29/2017
10	87.6	10/30/2017
8	92.6	10/30/2017
5	31.5	10/30/2017
4	97.7	10/30/2017
9	18.4	10/30/2017
2	51.9	10/31/2017
